Report Builder

"Principal Place of Performance State Code","Is Vendor Business Type - Economically Disadvantaged Women Owned Small Business","Is Vendor Business Type - Women Owned Small Business","NAICS Code","NAICS Description","Base and All Options Value (Total Contract Value)"
"AK","NO","NO","532490","OTHER COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING","$504,747.18"
"AK","NO","NO","541310","ARCHITECTURAL SERVICES","$3,777,160.52"
"AK","NO","NO","541320","LANDSCAPE ARCHITECTURAL SERVICES","$102,616.00"
"AK","NO","NO","541330","ENGINEERING SERVICES","$137,449,846.23"
"AK","NO","NO","541350","BUILDING INSPECTION SERVICES","$12,802.00"
"AK","NO","NO","541360","GEOPHYSICAL SURVEYING AND MAPPING SERVICES","$120,023.01"
"AK","NO","NO","541370","SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES","$17,436,982.39"
"AK","NO","NO","541380","TESTING LABORATORIES","$493,517.85"
"AK","NO","NO","541430","GRAPHIC DESIGN SERVICES","$29,862.00"
"AK","NO","NO","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","$12,025,578.90"
"AK","NO","NO","541512","COMPUTER SYSTEMS DESIGN SERVICES","$98,357,251.50"
"AK","NO","NO","541513","COMPUTER FACILITIES MANAGEMENT SERVICES","$823,178.54"
"AK","NO","NO","541519","OTHER COMPUTER RELATED SERVICES","$79,867,044.77"
"AK","NO","NO","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","$75,726,788.86"
"AK","NO","NO","541614","PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES","$6,066,467.84"
"AK","NO","NO","541618","OTHER MANAGEMENT CONSULTING SERVICES","$600,028.90"
"AK","NO","NO","541620","ENVIRONMENTAL CONSULTING SERVICES","$23,531,377.03"
"AK","NO","NO","541690","OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES","$11,477,256.07"
"AK","NO","NO","541712","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)","$5,751,191.00"
"AK","NO","NO","541714","RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY (EXCEPT NANOBIOTECHNOLOGY)","$0.00"
"AK","NO","NO","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","$15,549,102.76"
"AK","NO","NO","541720","RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES","$0.00"
"AK","NO","NO","541840","MEDIA REPRESENTATIVES","$13,371.08"
"AK","NO","NO","541850","OUTDOOR ADVERTISING","$15,000.00"
"AK","NO","NO","541890","OTHER SERVICES RELATED TO ADVERTISING","$21,652.00"
"AK","NO","NO","541910","MARKETING RESEARCH AND PUBLIC OPINION POLLING","$287,928.77"
"AK","NO","NO","541940","VETERINARY SERVICES","$49,975.04"
"AK","NO","NO","541990","ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","$112,964,064.58"
"AK","NO","NO","561110","OFFICE ADMINISTRATIVE SERVICES","$1,281,167.49"
"AK","NO","NO","561210","FACILITIES SUPPORT SERVICES","$143,134,446.17"
"AK","NO","NO","561320","TEMPORARY HELP SERVICES","$10,719,796.06"
"AK","NO","NO","561450","CREDIT BUREAUS","$400.00"
"AK","NO","NO","561621","SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS)","$3,445,312.68"
"AK","NO","NO","561720","JANITORIAL SERVICES","$34,836,621.69"
"AK","NO","NO","561730","LANDSCAPING SERVICES","$4,464,382.49"
"AK","NO","NO","561740","CARPET AND UPHOLSTERY CLEANING SERVICES","$23,529.98"
"AK","NO","NO","561790","OTHER SERVICES TO BUILDINGS AND DWELLINGS","$2,300,528.38"
"AK","NO","NO","561910","PACKAGING AND LABELING SERVICES","$589,412.77"
"AK","NO","NO","561920","CONVENTION AND TRADE SHOW ORGANIZERS","$4,478,463.64"
"AK","NO","NO","561990","ALL OTHER SUPPORT SERVICES","$54,414,293.85"
"AK","NO","NO","562111","SOLID WASTE COLLECTION","$494,804.86"
"AK","NO","NO","562112","HAZARDOUS WASTE COLLECTION","$2,315.40"
"AK","NO","NO","562119","OTHER WASTE COLLECTION","$389,932.00"
"AK","NO","NO","562211","HAZARDOUS WASTE TREATMENT AND DISPOSAL","$2,100,909.53"
"AK","NO","NO","562212","SOLID WASTE LANDFILL","$12,955.31"
"AK","NO","NO","562219","OTHER NONHAZARDOUS WASTE TREATMENT AND DISPOSAL","$20,980.22"
"AK","NO","NO","562910","REMEDIATION SERVICES","$112,830,352.57"
"AK","NO","NO","562991","SEPTIC TANK AND RELATED SERVICES","$521,683.30"
"AK","NO","NO","562998","ALL OTHER MISCELLANEOUS WASTE MANAGEMENT SERVICES","$3,590,802.90"
"AK","NO","NO","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS","$55,965,361.36"
"AK","NO","NO","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","$51,020,233.83"
"AK","NO","NO","611512","FLIGHT TRAINING","$117,095.00"
"AK","NO","NO","611519","OTHER TECHNICAL AND TRADE SCHOOLS","$6,599,393.53"
"AK","NO","NO","611620","SPORTS AND RECREATION INSTRUCTION","$16,000.00"
"AK","NO","NO","611699","ALL OTHER MISCELLANEOUS SCHOOLS AND INSTRUCTION","$245,710.75"
"AK","NO","NO","611710","EDUCATIONAL SUPPORT SERVICES","$86,909.13"
"AK","NO","NO","621330","OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS)","$149,250.50"
"AK","NO","NO","621340","OFFICES OF PHYSICAL, OCCUPATIONAL AND SPEECH THERAPISTS, AND AUDIOLOGISTS","$16,000.12"
"AK","NO","NO","621399","OFFICES OF ALL OTHER MISCELLANEOUS HEALTH PRACTITIONERS","$610.00"
"AK","NO","NO","621420","OUTPATIENT MENTAL HEALTH AND SUBSTANCE ABUSE CENTERS","$52,702.50"
"AK","NO","NO","621498","ALL OTHER OUTPATIENT CARE CENTERS","$166,532.20"
"AK","NO","NO","621511","MEDICAL LABORATORIES","$1,194,917.58"
"AK","NO","NO","621999","ALL OTHER MISCELLANEOUS AMBULATORY HEALTH CARE SERVICES","$2,010,450.86"
"AK","NO","NO","624190","OTHER INDIVIDUAL AND FAMILY SERVICES","$0.00"
"AK","NO","NO","624221","TEMPORARY SHELTERS","$127,000.00"
"AK","NO","NO","711320","PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITHOUT FACILITIES","$4,900.00"
"AK","NO","NO","711510","INDEPENDENT ARTISTS, WRITERS, AND PERFORMERS","$177,430.96"
"AK","NO","NO","712110","MUSEUMS","$13,000.00"
"AK","NO","NO","713930","MARINAS","$392,236.72"
"AK","NO","NO","713940","FITNESS AND RECREATIONAL SPORTS CENTERS","$81,040.00"
"AK","NO","NO","713990","ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES","$27,084.00"
"AK","NO","NO","721110","HOTELS (EXCEPT CASINO HOTELS) AND MOTELS","$11,779.24"
"AK","NO","NO","721214","RECREATIONAL AND VACATION CAMPS (EXCEPT CAMPGROUNDS)","$20,700.00"
"AK","NO","NO","721310","ROOMING AND BOARDING HOUSES, DORMITORIES, AND WORKERS' CAMPS","$1,046,446.87"
"AK","NO","NO","722310","FOOD SERVICE CONTRACTORS","$9,457,890.24"
"AK","NO","NO","811111","GENERAL AUTOMOTIVE REPAIR","$190,320.81"
"AK","NO","NO","811118","OTHER AUTOMOTIVE MECHANICAL AND ELECTRICAL REPAIR AND MAINTENANCE","$48,943.76"
"AK","NO","NO","811121","AUTOMOTIVE BODY, PAINT, AND INTERIOR REPAIR AND MAINTENANCE","$347,901.89"
"AK","NO","NO","811198","ALL OTHER AUTOMOTIVE REPAIR AND MAINTENANCE","$15,379.38"
"AK","NO","NO","811211","CONSUMER ELECTRONICS REPAIR AND MAINTENANCE","$8,360.34"
"AK","NO","NO","811212","COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE","$676,693.38"
"AK","NO","NO","811213","COMMUNICATION EQUIPMENT REPAIR AND MAINTENANCE","$12,410,634.48"
"AK","NO","NO","811219","OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE","$19,566,791.09"
"AK","NO","NO","811310","COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE","$5,254,229.29"
"AK","NO","NO","811412","APPLIANCE REPAIR AND MAINTENANCE","$162,002.61"
"AK","NO","NO","811420","REUPHOLSTERY AND FURNITURE REPAIR","$7,215.00"
"AK","NO","NO","811490","OTHER PERSONAL AND HOUSEHOLD GOODS REPAIR AND MAINTENANCE","$17,168.50"
"AK","NO","NO","812210","FUNERAL HOMES AND FUNERAL SERVICES","$3,170.00"
"AK","NO","NO","812910","PET CARE (EXCEPT VETERINARY) SERVICES","$29,000.00"
"AK","NO","NO","812930","PARKING LOTS AND GARAGES","$172,800.00"
"AK","NO","NO","813110","RELIGIOUS ORGANIZATIONS","$211,156.49"
"AK","NO","NO","813311","HUMAN RIGHTS ORGANIZATIONS","$193,000.00"
"AK","NO","NO","813312","ENVIRONMENT, CONSERVATION AND WILDLIFE ORGANIZATIONS","$51,393.00"
"AK","NO","NO","813920","PROFESSIONAL ORGANIZATIONS","$14,000.00"
"AK","NO","NO","921150","AMERICAN INDIAN AND ALASKA NATIVE TRIBAL GOVERNMENTS","$0.00"
"AK","NO","NO","921190","OTHER GENERAL GOVERNMENT SUPPORT","$33,019.11"
"AK","NO","NO","922140","CORRECTIONAL INSTITUTIONS","$122,636.88"
"AK","NO","NO","922160","FIRE PROTECTION","$10,542.83"
"AK","NO","NO","923120","ADMINISTRATION OF PUBLIC HEALTH PROGRAMS","$1,638,098.63"
"AK","NO","NO","924110","ADMINISTRATION OF AIR AND WATER RESOURCE AND SOLID WASTE MANAGEMENT PROGRAMS","$22,620.00"
"AK","NO","NO","924120","ADMINISTRATION OF CONSERVATION PROGRAMS","$395,610.46"
"AK","NO","NO","926110","ADMINISTRATION OF GENERAL ECONOMIC PROGRAMS","$22,040.86"
"AK","NO","NO","926130","REGULATION AND ADMINISTRATION OF COMMUNICATIONS, ELECTRIC, GAS, AND OTHER UTILITIES","$17,326,459.41"
"AK","NO","NO","927110","SPACE RESEARCH AND TECHNOLOGY","$9,659,000.00"
"AK","NO","YES","113310","LOGGING","$8,500.00"
"AK","NO","YES","236118","RESIDENTIAL REMODELERS","$21,058.63"
"AK","NO","YES","236220","COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION","$2,103,364.40"
"AK","NO","YES","237310","HIGHWAY, STREET, AND BRIDGE CONSTRUCTION","$5,712,675.00"
"AK","NO","YES","237990","OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION","$192,215.00"
"AK","NO","YES","238160","ROOFING CONTRACTORS","$0.00"
"AK","NO","YES","238210","ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS","$42,265.76"
"AK","NO","YES","238220","PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS","$176,786.00"
"AK","NO","YES","238290","OTHER BUILDING EQUIPMENT CONTRACTORS","$45,749.68"
"AK","NO","YES","238330","FLOORING CONTRACTORS","$21,254.50"
"AK","NO","YES","238910","SITE PREPARATION CONTRACTORS","$896,969.00"
"AK","NO","YES","238990","ALL OTHER SPECIALTY TRADE CONTRACTORS","$8,725.00"
"AK","NO","YES","315990","APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING","$24,031.01"
"AK","NO","YES","321113","SAWMILLS","$23,585.00"
"AK","NO","YES","321918","OTHER MILLWORK (INCLUDING FLOORING)","$34,700.00"
"AK","NO","YES","321992","PREFABRICATED WOOD BUILDING MANUFACTURING","$79,250.00"
"AK","NO","YES","324110","PETROLEUM REFINERIES","$54,965.00"
"AK","NO","YES","325120","INDUSTRIAL GAS MANUFACTURING","$20,400.00"
"AK","NO","YES","327390","OTHER CONCRETE PRODUCT MANUFACTURING","$17,850.00"
"AK","NO","YES","327910","ABRASIVE PRODUCT MANUFACTURING","$38,776.00"
"AK","NO","YES","332311","PREFABRICATED METAL BUILDING AND COMPONENT MANUFACTURING","$3,450,525.00"
"AK","NO","YES","332312","FABRICATED STRUCTURAL METAL MANUFACTURING","$29,500.00"
"AK","NO","YES","332439","OTHER METAL CONTAINER MANUFACTURING","$13,700.00"
"AK","NO","YES","332510","HARDWARE MANUFACTURING","$63,718.73"
"AK","NO","YES","332999","ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING","$500.00"
"AK","NO","YES","333120","CONSTRUCTION MACHINERY MANUFACTURING","$21,968.24"
"AK","NO","YES","333241","FOOD PRODUCT MACHINERY MANUFACTURING","$233,061.60"
"AK","NO","YES","333992","WELDING AND SOLDERING EQUIPMENT MANUFACTURING","$2,995.00"
"AK","NO","YES","334111","ELECTRONIC COMPUTER MANUFACTURING","$767,180.96"
"AK","NO","YES","334510","ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS MANUFACTURING","$14,482.00"
"AK","NO","YES","334511","SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING","$7,755.26"
"AK","NO","YES","334513","INSTRUMENTS AND RELATED PRODUCTS MANUFACTURING FOR MEASURING, DISPLAYING, AND CONTROLLING INDUSTRIAL PROCESS VARIABLES","$0.00"
"AK","NO","YES","334517","IRRADIATION APPARATUS MANUFACTURING","$45,690.00"
"AK","NO","YES","335921","FIBER OPTIC CABLE MANUFACTURING","$52,128.59"
"AK","NO","YES","336112","LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING","$22,065.38"
"AK","NO","YES","336212","TRUCK TRAILER MANUFACTURING","$11,824.00"
"AK","NO","YES","336390","OTHER MOTOR VEHICLE PARTS MANUFACTURING","$12,858.34"
"AK","NO","YES","336611","SHIP BUILDING AND REPAIRING","$17,260.00"
"AK","NO","YES","336991","MOTORCYCLE, BICYCLE, AND PARTS MANUFACTURING","$6,408.59"
"AK","NO","YES","336999","ALL OTHER TRANSPORTATION EQUIPMENT MANUFACTURING","$84,750.43"
"AK","NO","YES","337122","NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING","$53,591.50"
"AK","NO","YES","339112","SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING","$24,477.16"
"AK","NO","YES","339113","SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING","$134,202.25"
"AK","NO","YES","339920","SPORTING AND ATHLETIC GOODS MANUFACTURING","$0.00"
"AK","NO","YES","423110","AUTOMOBILE AND OTHER MOTOR VEHICLE MERCHANT WHOLESALERS","$24,785.00"
"AK","NO","YES","481211","NONSCHEDULED CHARTERED PASSENGER AIR TRANSPORTATION","$344,899.77"
"AK","NO","YES","487210","SCENIC AND SIGHTSEEING TRANSPORTATION, WATER","$55,900.00"
"AK","NO","YES","488119","OTHER AIRPORT OPERATIONS","$258,650.00"
"AK","NO","YES","488190","OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION","$95,167.67"
"AK","NO","YES","488210","SUPPORT ACTIVITIES FOR RAIL TRANSPORTATION","$377,491.75"
"AK","NO","YES","488310","PORT AND HARBOR OPERATIONS","$52,500.00"
"AK","NO","YES","488330","NAVIGATIONAL SERVICES TO SHIPPING","$19,698.00"
"AK","NO","YES","492110","COURIERS AND EXPRESS DELIVERY SERVICES","$235,942.30"
"AK","NO","YES","517110","WIRED TELECOMMUNICATIONS CARRIERS","$40,203.14"
"AK","NO","YES","531120","LESSORS OF NONRESIDENTIAL BUILDINGS (EXCEPT MINIWAREHOUSES)","$0.00"
"AK","NO","YES","532120","TRUCK, UTILITY TRAILER, AND RV (RECREATIONAL VEHICLE) RENTAL AND LEASING","$42,900.00"
"AK","NO","YES","532283","HOME HEALTH EQUIPMENT RENTAL","$1,252,877.62"
"AK","NO","YES","532412","CONSTRUCTION, MINING, AND FORESTRY MACHINERY AND EQUIPMENT RENTAL AND LEASING","$459,553.80"
"AK","NO","YES","532420","OFFICE MACHINERY AND EQUIPMENT RENTAL AND LEASING","$1,258.32"
"AK","NO","YES","532490","OTHER COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING","$44,400.00"
"AK","NO","YES","541219","OTHER ACCOUNTING SERVICES","$3,182.46"
"AK","NO","YES","541330","ENGINEERING SERVICES","$42,082.29"
"AK","NO","YES","541370","SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES","$6,000.00"
"AK","NO","YES","541380","TESTING LABORATORIES","$3,994,041.00"
"AK","NO","YES","541512","COMPUTER SYSTEMS DESIGN SERVICES","$1,301,696.00"
"AK","NO","YES","541519","OTHER COMPUTER RELATED SERVICES","$72,059.17"
"AK","NO","YES","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","$981,919.31"
"AK","NO","YES","541620","ENVIRONMENTAL CONSULTING SERVICES","$1,050,763.33"
"AK","NO","YES","541690","OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES","$28,029.06"
"AK","NO","YES","541990","ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","$730,573.57"
"AK","NO","YES","561210","FACILITIES SUPPORT SERVICES","$10,518,913.27"
"AK","NO","YES","561410","DOCUMENT PREPARATION SERVICES","$462,468.20"
"AK","NO","YES","561492","COURT REPORTING AND STENOTYPE SERVICES","$54,001.45"
"AK","NO","YES","561621","SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS)","$648,619.08"
"AK","NO","YES","561622","LOCKSMITHS","$5,544.30"
"AK","NO","YES","561710","EXTERMINATING AND PEST CONTROL SERVICES","$72,468.00"
"AK","NO","YES","561720","JANITORIAL SERVICES","$68,391.98"
"AK","NO","YES","561730","LANDSCAPING SERVICES","$2,049,971.97"
"AK","NO","YES","561790","OTHER SERVICES TO BUILDINGS AND DWELLINGS","$110,425.84"
"AK","NO","YES","561990","ALL OTHER SUPPORT SERVICES","$71,349.26"
"AK","NO","YES","562111","SOLID WASTE COLLECTION","$25,575.53"
"AK","NO","YES","562910","REMEDIATION SERVICES","$16,500.00"
"AK","NO","YES","562991","SEPTIC TANK AND RELATED SERVICES","$799,036.00"
"AK","NO","YES","611692","AUTOMOBILE DRIVING SCHOOLS","$0.00"
"AK","NO","YES","611710","EDUCATIONAL SUPPORT SERVICES","$12,576.26"
"AK","NO","YES","711219","OTHER SPECTATOR SPORTS","$466,386.10"
"AK","NO","YES","712110","MUSEUMS","$3,500.00"
"AK","NO","YES","721110","HOTELS (EXCEPT CASINO HOTELS) AND MOTELS","$43,608.00"
"AK","NO","YES","722310","FOOD SERVICE CONTRACTORS","$662,182.88"
"AK","NO","YES","811111","GENERAL AUTOMOTIVE REPAIR","$58,035.45"
"AK","NO","YES","811219","OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE","$0.00"
"AK","NO","YES","811310","COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE","$526,494.12"
"AK","NO","YES","812332","INDUSTRIAL LAUNDERERS","$26,980.79"
"AK","YES","YES","115310","SUPPORT ACTIVITIES FOR FORESTRY","$246,000.00"
"AK","YES","YES","212321","CONSTRUCTION SAND AND GRAVEL MINING","$18,342.50"
"AK","YES","YES","236220","COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION","$7,235,678.81"
"AK","YES","YES","237110","WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION","$60,295.68"
"AK","YES","YES","237120","OIL AND GAS PIPELINE AND RELATED STRUCTURES CONSTRUCTION","$0.00"
"AK","YES","YES","237130","POWER AND COMMUNICATION LINE AND RELATED STRUCTURES CONSTRUCTION","$0.00"
"AK","YES","YES","237310","HIGHWAY, STREET, AND BRIDGE CONSTRUCTION","$3,579,848.30"
"AK","YES","YES","237990","OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION","$522,900.00"
"AK","YES","YES","238160","ROOFING CONTRACTORS","$693,570.00"
"AK","YES","YES","238210","ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS","$42,614.00"
"AK","YES","YES","238220","PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS","$2,959,165.27"
"AK","YES","YES","238310","DRYWALL AND INSULATION CONTRACTORS","$2,055,938.00"
"AK","YES","YES","238330","FLOORING CONTRACTORS","$2,024,383.60"
"AK","YES","YES","238910","SITE PREPARATION CONTRACTORS","$2,956,620.00"
"AK","YES","YES","315990","APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING","$124,146.17"
"AK","YES","YES","333112","LAWN AND GARDEN TRACTOR AND HOME LAWN AND GARDEN EQUIPMENT MANUFACTURING","$27,610.00"
"AK","YES","YES","333120","CONSTRUCTION MACHINERY MANUFACTURING","$28,240.00"
"AK","YES","YES","333319","OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING","$0.00"
"AK","YES","YES","334111","ELECTRONIC COMPUTER MANUFACTURING","$284,170.49"
"AK","YES","YES","334118","COMPUTER TERMINAL AND OTHER COMPUTER PERIPHERAL EQUIPMENT MANUFACTURING","$41,975.30"
"AK","YES","YES","334220","RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING","$43,767.37"
"AK","YES","YES","334516","ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING","$694,460.71"
"AK","YES","YES","335222","HOUSEHOLD REFRIGERATOR AND HOME FREEZER MANUFACTURING","$76,616.16"
"AK","YES","YES","335311","POWER, DISTRIBUTION, AND SPECIALTY TRANSFORMER MANUFACTURING","$4,676.02"
"AK","YES","YES","336112","LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING","$27,553.92"
"AK","YES","YES","336611","SHIP BUILDING AND REPAIRING","$106,865.50"
"AK","YES","YES","336999","ALL OTHER TRANSPORTATION EQUIPMENT MANUFACTURING","$23,248.00"
"AK","YES","YES","337211","WOOD OFFICE FURNITURE MANUFACTURING","$16,328.10"
"AK","YES","YES","337920","BLIND AND SHADE MANUFACTURING","$0.00"
"AK","YES","YES","453998","ALL OTHER MISCELLANEOUS STORE RETAILERS (EXCEPT TOBACCO STORES)","$58,899.08"
"AK","YES","YES","483111","DEEP SEA FREIGHT TRANSPORTATION","$2,527,796.27"
"AK","YES","YES","483114","COASTAL AND GREAT LAKES PASSENGER TRANSPORTATION","$34,200.00"
"AK","YES","YES","488190","OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION","$502,948.58"
"AK","YES","YES","488490","OTHER SUPPORT ACTIVITIES FOR ROAD TRANSPORTATION","$70,570.48"
"AK","YES","YES","531110","LESSORS OF RESIDENTIAL BUILDINGS AND DWELLINGS","$14,955.00"
"AK","YES","YES","532412","CONSTRUCTION, MINING, AND FORESTRY MACHINERY AND EQUIPMENT RENTAL AND LEASING","$12,461.00"
"AK","YES","YES","541330","ENGINEERING SERVICES","$1,886,892.40"
"AK","YES","YES","541370","SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES","$0.00"
"AK","YES","YES","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","$1,102,832.87"
"AK","YES","YES","541519","OTHER COMPUTER RELATED SERVICES","$421,175.38"
"AK","YES","YES","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","$1,048,951.47"
"AK","YES","YES","541620","ENVIRONMENTAL CONSULTING SERVICES","$164,299.00"
"AK","YES","YES","541690","OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES","$0.00"
"AK","YES","YES","541712","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)","$338,113.40"
"AK","YES","YES","541720","RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES","$0.00"
"AK","YES","YES","541990","ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","$906,948.75"
"AK","YES","YES","561210","FACILITIES SUPPORT SERVICES","$7,073,163.90"
"AK","YES","YES","561311","EMPLOYMENT PLACEMENT AGENCIES","$166,656.00"
"AK","YES","YES","561320","TEMPORARY HELP SERVICES","$334,376.96"
"AK","YES","YES","561621","SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS)","$99,638.10"
"AK","YES","YES","561720","JANITORIAL SERVICES","$1,961,474.35"
"AK","YES","YES","561730","LANDSCAPING SERVICES","$38,007.66"
"AK","YES","YES","561790","OTHER SERVICES TO BUILDINGS AND DWELLINGS","$2,989,471.00"
"AK","YES","YES","561990","ALL OTHER SUPPORT SERVICES","$983,395.47"
"AK","YES","YES","562112","HAZARDOUS WASTE COLLECTION","$1,207,447.19"
"AK","YES","YES","562910","REMEDIATION SERVICES","$9,070,916.99"
"AK","YES","YES","562991","SEPTIC TANK AND RELATED SERVICES","$496,345.00"
"AK","YES","YES","611620","SPORTS AND RECREATION INSTRUCTION","$352,855.00"
"AK","YES","YES","621420","OUTPATIENT MENTAL HEALTH AND SUBSTANCE ABUSE CENTERS","$24,954.00"
"AK","YES","YES","621999","ALL OTHER MISCELLANEOUS AMBULATORY HEALTH CARE SERVICES","$63,264.00"
"AK","YES","YES","713940","FITNESS AND RECREATIONAL SPORTS CENTERS","$0.00"
"AK","YES","YES","722310","FOOD SERVICE CONTRACTORS","$2,555,565.43"
"AK","YES","YES","811212","COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE","$1,128,508.31"
"AK","YES","YES","811219","OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE","$651,768.00"
"AK","YES","YES","811310","COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE","$137,595.03"
